ForayNL Name,Mycobank Name,Value
Ascobolus stercorarius,Ascobolus stercorarius,0
Ascocoryne cylichnium,Ascocoryne cylichnium,0
Ascocoryne sarcoides,Ascocoryne sarcoides,0
Ascocoryne turficola,Ascocoryne turficola,0
Asterophora parasitica,Asterophora parasitica,0
Athelia decipiens,Athelia decipiens,0
Athelia epiphylla,Athelia epiphylla,0
Athelicium sp 1,,3
Athelopsis subinconspicua,Athelopsis subinconspicua,0
Atheniella adonis,Atheniella adonis,0
Atopospora betulina,Atopospora betulina,0
Aurantioporthe corni,Aurantioporthe corni,0
Auricularia americana,Auricularia americana,0
Austroboletus gracilis,Austroboletus gracilis,0
Badhamia lilacina,Badhamia lilacina,0
Baeospora myosura,Baeospora myosura,0
Bankera fuligneo-alba,Bankera fuligineoalba,2
Bankera violascens,Bankera violascens,0
Basidiodendron caesiocinereum,Basidiodendron caesiocinereum,0
Basidioradulum radula,Basidioradulum radula,0
Biscogniauxia repanda,Biscogniauxia repanda,0
Bisporella citrina,Bisporella citrina,0
Bjerkandera adusta,Bjerkandera adusta,0
Bjerkandera fumosa,Bjerkandera fumosa,0
Blasiphalia pseudogrisella,Blasiphalia pseudogrisella,0
Bogbodia uda,Bogbodia uda,0
Boidinia  furfuracea,Boidinia furfuracea,1
Boidinia  propinqua,Boidinia propinqua,1
Bolbitius titubans,Bolbitius titubans,0
Boletopsis grisea,Boletopsis grisea,0
Boletopsis leucomelaena,Boletopsis leucomelaena,0
Boletus calopus,Boletus calopus,0
Boletus edulis,Boletus edulis,0
Boletus huronensis,Boletus huronensis,0
Boletus subtomentosus f. gracilis,Boletus subtomentosus f. gracilis,0
Boletus subvelutipes,Boletus subvelutipes,0
Botryobasidium conspersum,Botryobasidium conspersum,0
Botryobasidium isabellinus,Botryobasidium isabellinum,2
Botryobasidium medium,Botryobasidium medium,0
Botryobasidium subcoronatum,Botryobasidium subcoronatum,0
Botryobasidium vagum,Botryobasidium vagum,0
Botryohypochnus isabellinus,Botryohypochnus isabellinus,0
Bovista nigrescens,Bovista nigrescens,0
Bovista pila,Bovista pila,0
Bovista plumbea,Bovista plumbea,0
Brevicellicium exile,Brevicellicium exile,0
Bryoglossum gracile,Bryoglossum gracile,0
Bryoglossum rhemii,Bryoglossum rehmii,2
Butyiboletus brunneus,Butyriboletus brunneus,2
Byssocorticium pulchrum,Byssocorticium pulchrum,0
Byssonectria terrestris,Byssonectria terrestris,0
Calcipostia (Oligoporus) guttulatus,,3
Callistosporium luteoolivaceum,Callistosporium luteoolivaceum,0
Calocera cornea,Calocera cornea,0
Calocera furcata,Calocera furcata,0
Calocera viscosa,Calocera viscosa,0
Calvatia cretacea,Calvatia cretacea,0
Camarophyllopsis foetens,Camarophyllopsis foetens,0
Cantharellula umbonata,Cantharellula umbonata,0
Cantharellus amethysteus,Cantharellus amethysteus,0
Cantharellus camphoratus,Cantharellus camphoratus,0
Cantharellus enelensis,Cantharellus enelensis,0
Catathelasma imperiale,Catathelasma imperiale,0
Catathelasma ventricosum,Catathelasma ventricosum,0
Ceraceomyces borealis,Ceraceomyces borealis,0
Ceraceomyces eludens,Ceraceomyces eludens,0
Ceraceomyces microsporus,Ceraceomyces microsporus,0
Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa,0
Cerioporus leptocephalus,Cerioporus leptocephalus,0
Cerioporus scutellata,Cerioporus scutellatus,2
Cerrena unicolor,Cerrena unicolor,0
Chaetosphaeria longiseta,Chaetosphaeria longiseta,0
Chalciporus piperatus,Chalciporus piperatus,0
Chalciporus pseudorubinellus,Chalciporus pseudorubinellus,0
Chalciporus rubinellus,Chalciporus rubinellus,0
Cheilymenia fimicola,Cheilymenia fimicola,0
